prime_text,prime_audio,prime_lex,target_text,target_lex,similarity,target_audio
ghost,prime_audio/ghost.wav,NonFrenchPrime,paques,Word,NoMatch,target_audio/paques.wav
pain,prime_audio/pain.wav,FrenchPrime,gousse,Word,NoMatch,target_audio/gousse.wav
isle,prime_audio/isle.wav,NonFrenchPrime,flisse,Nonword,NoMatch,target_audio/flisse.wav
room,prime_audio/room.wav,NonFrenchPrime,peine,Word,NoMatch,target_audio/peine.wav
cue,prime_audio/cue.wav,NonFrenchPrime,quiou,Nonword,Match,target_audio/quiou.wav
plum,prime_audio/plum.wav,NonFrenchPrime,sept,Word,NoMatch,target_audio/sept.wav
tea,prime_audio/tea.wav,FrenchPrime,dole,Nonword,NoMatch,target_audio/dole.wav
grace,prime_audio/grace.wav,FrenchPrime,chirre,Nonword,NoMatch,target_audio/chirre.wav
bomb,prime_audio/bomb.wav,FrenchPrime,baume,Word,Match,target_audio/baume.wav
folk,prime_audio/folk.wav,FrenchPrime,dambe,Nonword,NoMatch,target_audio/dambe.wav
ice,prime_audio/ice.wav,NonFrenchPrime,mappe,Nonword,NoMatch,target_audio/mappe.wav
loop,prime_audio/loop.wav,FrenchPrime,manne,Word,NoMatch,target_audio/manne.wav
trade,prime_audio/trade.wav,NonFrenchPrime,nose,Nonword,NoMatch,target_audio/nose.wav
pale,prime_audio/pale.wav,FrenchPrime,pelle,Word,Match,target_audio/pelle.wav
back,prime_audio/back.wav,FrenchPrime,lame,Word,NoMatch,target_audio/lame.wav
fee,prime_audio/fee.wav,FrenchPrime,jache,Nonword,NoMatch,target_audio/jache.wav
pan,prime_audio/pan.wav,FrenchPrime,fane,Word,NoMatch,target_audio/fane.wav
ram,prime_audio/ram.wav,FrenchPrime,rame,Word,Match,target_audio/rame.wav
knees,prime_audio/knees.wav,NonFrenchPrime,nise,Nonword,Match,target_audio/nise.wav
phase,prime_audio/phase.wav,NonFrenchPrime,bide,Word,NoMatch,target_audio/bide.wav
pack,prime_audio/pack.wav,FrenchPrime,phoque,Word,NoMatch,target_audio/phoque.wav
lack,prime_audio/lack.wav,FrenchPrime,lac,Word,Match,target_audio/lac.wav
veal,prime_audio/veal.wav,FrenchPrime,queme,Nonword,NoMatch,target_audio/queme.wav
man,prime_audio/man.wav,FrenchPrime,fulle,Nonword,NoMatch,target_audio/fulle.wav
feel,prime_audio/feel.wav,FrenchPrime,femme,Word,NoMatch,target_audio/femme.wav
top,prime_audio/top.wav,FrenchPrime,taupe,Word,Match,target_audio/taupe.wav
nose,prime_audio/nose.wav,NonFrenchPrime,mille,Word,NoMatch,target_audio/mille.wav
vase,prime_audio/vase.wav,FrenchPrime,toche,Nonword,NoMatch,target_audio/toche.wav
vet,prime_audio/vet.wav,FrenchPrime,vete,Word,Match,target_audio/vete.wav
mob,prime_audio/mob.wav,NonFrenchPrime,mabbe,Nonword,Match,target_audio/mabbe.wav
reed,prime_audio/reed.wav,FrenchPrime,col,Word,NoMatch,target_audio/col.wav
lease,prime_audio/lease.wav,FrenchPrime,lice,Word,Match,target_audio/lice.wav
part,prime_audio/part.wav,FrenchPrime,dame,Word,NoMatch,target_audio/dame.wav
nap,prime_audio/nap.wav,FrenchPrime,foge,Nonword,NoMatch,target_audio/foge.wav
sea,prime_audio/sea.wav,FrenchPrime,jeuche,Nonword,NoMatch,target_audio/jeuche.wav
pool,prime_audio/pool.wav,FrenchPrime,poule,Word,Match,target_audio/poule.wav
fleece,prime_audio/fleece.wav,NonFrenchPrime,ride,Word,NoMatch,target_audio/ride.wav
tip,prime_audio/tip.wav,FrenchPrime,binque,Nonword,NoMatch,target_audio/binque.wav
duck,prime_audio/duck.wav,NonFrenchPrime,braide,Nonword,NoMatch,target_audio/braide.wav
move,prime_audio/move.wav,NonFrenchPrime,mouve,Nonword,Match,target_audio/mouve.wav
map,prime_audio/map.wav,NonFrenchPrime,cote,Word,NoMatch,target_audio/cote.wav
feet,prime_audio/feet.wav,FrenchPrime,nelle,Nonword,NoMatch,target_audio/nelle.wav
oats,prime_audio/oats.wav,NonFrenchPrime,bac,Word,NoMatch,target_audio/bac.wav
sigh,prime_audio/sigh.wav,FrenchPrime,goque,Nonword,NoMatch,target_audio/goque.wav
meat,prime_audio/meat.wav,FrenchPrime,fiche,Word,NoMatch,target_audio/fiche.wav
suit,prime_audio/suit.wav,FrenchPrime,soute,Word,Match,target_audio/soute.wav
toll,prime_audio/toll.wav,FrenchPrime,tole,Word,Match,target_audio/tole.wav
game,prime_audio/game.wav,NonFrenchPrime,liffe,Nonword,NoMatch,target_audio/liffe.wav
bread,prime_audio/bread.wav,NonFrenchPrime,pate,Word,NoMatch,target_audio/pate.wav
bed,prime_audio/bed.wav,NonFrenchPrime,bede,Nonword,Match,target_audio/bede.wav
flesh,prime_audio/flesh.wav,FrenchPrime,nire,Nonword,NoMatch,target_audio/nire.wav
slack,prime_audio/slack.wav,NonFrenchPrime,panne,Word,NoMatch,target_audio/panne.wav
rave,prime_audio/rave.wav,FrenchPrime,reve,Word,Match,target_audio/reve.wav
mess,prime_audio/mess.wav,FrenchPrime,namme,Nonword,NoMatch,target_audio/namme.wav
bead,prime_audio/bead.wav,FrenchPrime,nappe,Word,NoMatch,target_audio/nappe.wav
knob,prime_audio/knob.wav,NonFrenchPrime,roume,Nonword,NoMatch,target_audio/roume.wav
lamb,prime_audio/lamb.wav,FrenchPrime,chinde,Nonword,NoMatch,target_audio/chinde.wav
dam,prime_audio/dam.wav,FrenchPrime,douge,Nonword,NoMatch,target_audio/douge.wav
rain,prime_audio/rain.wav,FrenchPrime,rennes,Word,Match,target_audio/rennes.wav
sad,prime_audio/sad.wav,NonFrenchPrime,sade,Nonword,Match,target_audio/sade.wav
ash,prime_audio/ash.wav,FrenchPrime,gurre,Nonword,NoMatch,target_audio/gurre.wav
lot,prime_audio/lot.wav,FrenchPrime,puge,Nonword,NoMatch,target_audio/puge.wav
pledge,prime_audio/pledge.wav,NonFrenchPrime,loupe,Word,NoMatch,target_audio/loupe.wav
bag,prime_audio/bag.wav,FrenchPrime,bague,Word,Match,target_audio/bague.wav
fig,prime_audio/fig.wav,FrenchPrime,coume,Nonword,NoMatch,target_audio/coume.wav
meal,prime_audio/meal.wav,FrenchPrime,lotte,Word,NoMatch,target_audio/lotte.wav
stack,prime_audio/stack.wav,NonFrenchPrime,cil,Word,NoMatch,target_audio/cil.wav
