prime_text,prime_audio,prime_lex,target_text,target_lex,similarity,target_audio
leak,prime_audio/leak.wav,NonFrenchPrime,sol,Word,NoMatch,target_audio/sol.wav
tree,prime_audio/tree.wav,FrenchPrime,gege,Nonword,NoMatch,target_audio/gege.wav
sash,prime_audio/sash.wav,FrenchPrime,velle,Nonword,NoMatch,target_audio/velle.wav
boat,prime_audio/boat.wav,FrenchPrime,ville,Word,NoMatch,target_audio/ville.wav
pill,prime_audio/pill.wav,FrenchPrime,pile,Word,Match,target_audio/pile.wav
pie,prime_audio/pie.wav,FrenchPrime,guge,Nonword,NoMatch,target_audio/guge.wav
farm,prime_audio/farm.wav,FrenchPrime,berre,Nonword,NoMatch,target_audio/berre.wav
soul,prime_audio/soul.wav,FrenchPrime,meche,Word,NoMatch,target_audio/meche.wav
cat,prime_audio/cat.wav,NonFrenchPrime,catte,Nonword,Match,target_audio/catte.wav
disk,prime_audio/disk.wav,FrenchPrime,gueffe,Nonword,NoMatch,target_audio/gueffe.wav
last,prime_audio/last.wav,NonFrenchPrime,baisse,Word,NoMatch,target_audio/baisse.wav
vein,prime_audio/vein.wav,FrenchPrime,veine,Word,Match,target_audio/veine.wav
cot,prime_audio/cot.wav,FrenchPrime,type,Word,NoMatch,target_audio/type.wav
tie,prime_audio/tie.wav,FrenchPrime,bage,Nonword,NoMatch,target_audio/bage.wav
leaf,prime_audio/leaf.wav,NonFrenchPrime,botte,Word,NoMatch,target_audio/botte.wav
bell,prime_audio/bell.wav,FrenchPrime,rouque,Nonword,NoMatch,target_audio/rouque.wav
guy,prime_audio/guy.wav,NonFrenchPrime,gaille,Nonword,Match,target_audio/gaille.wav
call,prime_audio/call.wav,FrenchPrime,oinde,Nonword,NoMatch,target_audio/oinde.wav
set,prime_audio/set.wav,FrenchPrime,bile,Word,NoMatch,target_audio/bile.wav
eel,prime_audio/eel.wav,FrenchPrime,keppe,Nonword,NoMatch,target_audio/keppe.wav
flow,prime_audio/flow.wav,FrenchPrime,chive,Nonword,NoMatch,target_audio/chive.wav
mesh,prime_audio/mesh.wav,FrenchPrime,deurre,Nonword,NoMatch,target_audio/deurre.wav
moose,prime_audio/moose.wav,FrenchPrime,mousse,Word,Match,target_audio/mousse.wav
nerve,prime_audio/nerve.wav,FrenchPrime,gueque,Nonword,NoMatch,target_audio/gueque.wav
fish,prime_audio/fish.wav,FrenchPrime,gaque,Nonword,NoMatch,target_audio/gaque.wav
peach,prime_audio/peach.wav,NonFrenchPrime,mite,Word,NoMatch,target_audio/mite.wav
Bill,prime_audio/Bill.wav,FrenchPrime,chaze,Nonword,NoMatch,target_audio/chaze.wav
pad,prime_audio/pad.wav,NonFrenchPrime,chone,Nonword,NoMatch,target_audio/chone.wav
fruit,prime_audio/fruit.wav,NonFrenchPrime,site,Word,NoMatch,target_audio/site.wav
goose,prime_audio/goose.wav,FrenchPrime,ouingue,Nonword,NoMatch,target_audio/ouingue.wav
farce,prime_audio/farce.wav,FrenchPrime,face,Word,Match,target_audio/face.wav
laugh,prime_audio/laugh.wav,NonFrenchPrime,cide,Nonword,NoMatch,target_audio/cide.wav
bet,prime_audio/bet.wav,FrenchPrime,bete,Word,Match,target_audio/bete.wav
base,prime_audio/base.wav,FrenchPrime,messe,Word,NoMatch,target_audio/messe.wav
fan,prime_audio/fan.wav,FrenchPrime,gouque,Nonword,NoMatch,target_audio/gouque.wav
tune,prime_audio/tune.wav,NonFrenchPrime,piche,Nonword,NoMatch,target_audio/piche.wav
seat,prime_audio/seat.wav,FrenchPrime,fosse,Word,NoMatch,target_audio/fosse.wav
seed,prime_audio/seed.wav,NonFrenchPrime,fil,Word,NoMatch,target_audio/fil.wav
force,prime_audio/force.wav,FrenchPrime,ruque,Nonword,NoMatch,target_audio/ruque.wav
fog,prime_audio/fog.wav,NonFrenchPrime,fague,Nonword,Match,target_audio/fague.wav
