prime_text,prime_audio,prime_lex,target_text,target_lex,similarity,target_audio
leak,prime_audio/leak.wav,NonFrenchPrime,bague,Word,NoMatch,target_audio/bague.wav
tree,prime_audio/tree.wav,FrenchPrime,gege,Nonword,NoMatch,target_audio/gege.wav
sash,prime_audio/sash.wav,FrenchPrime,velle,Nonword,NoMatch,target_audio/velle.wav
boat,prime_audio/boat.wav,FrenchPrime,queme,Nonword,NoMatch,target_audio/queme.wav
pill,prime_audio/pill.wav,FrenchPrime,paques,Word,NoMatch,target_audio/paques.wav
pie,prime_audio/pie.wav,FrenchPrime,guge,Nonword,NoMatch,target_audio/guge.wav
farm,prime_audio/farm.wav,FrenchPrime,femme,Word,Match,target_audio/femme.wav
soul,prime_audio/soul.wav,FrenchPrime,deurre,Nonword,NoMatch,target_audio/deurre.wav
cat,prime_audio/cat.wav,NonFrenchPrime,catte,Nonword,Match,target_audio/catte.wav
disk,prime_audio/disk.wav,FrenchPrime,gueffe,Nonword,NoMatch,target_audio/gueffe.wav
last,prime_audio/last.wav,NonFrenchPrime,reve,Word,NoMatch,target_audio/reve.wav
vein,prime_audio/vein.wav,FrenchPrime,cote,Word,NoMatch,target_audio/cote.wav
cot,prime_audio/cot.wav,FrenchPrime,binque,Nonword,NoMatch,target_audio/binque.wav
tie,prime_audio/tie.wav,FrenchPrime,bage,Nonword,NoMatch,target_audio/bage.wav
leaf,prime_audio/leaf.wav,NonFrenchPrime,rennes,Word,NoMatch,target_audio/rennes.wav
seal,prime_audio/seal.wav,FrenchPrime,rouque,Nonword,NoMatch,target_audio/rouque.wav
guy,prime_audio/guy.wav,NonFrenchPrime,gaille,Nonword,Match,target_audio/gaille.wav
call,prime_audio/call.wav,FrenchPrime,col,Word,Match,target_audio/col.wav
set,prime_audio/set.wav,FrenchPrime,chaze,Nonword,NoMatch,target_audio/chaze.wav
eel,prime_audio/eel.wav,FrenchPrime,keppe,Nonword,NoMatch,target_audio/keppe.wav
flow,prime_audio/flow.wav,FrenchPrime,chive,Nonword,NoMatch,target_audio/chive.wav
mesh,prime_audio/mesh.wav,FrenchPrime,meche,Word,Match,target_audio/meche.wav
moose,prime_audio/moose.wav,FrenchPrime,fil,Word,NoMatch,target_audio/fil.wav
nerve,prime_audio/nerve.wav,FrenchPrime,gueque,Nonword,NoMatch,target_audio/gueque.wav
fish,prime_audio/fish.wav,FrenchPrime,fiche,Word,Match,target_audio/fiche.wav
peach,prime_audio/peach.wav,NonFrenchPrime,rame,Word,NoMatch,target_audio/rame.wav
Bill,prime_audio/Bill.wav,FrenchPrime,bile,Word,Match,target_audio/bile.wav
